,PassengerId,groupID,MemberID,HomePlanet,CryoSleep,Cabin,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Name,Transported,cabin_sec,cabin_num,cabin_side
0,0001_01,0001,01,Europa,0,B/0/P,TRAPPIST-1e,39.0,0,0.0,0.0,0.0,0.0,0.0,Maham Ofracculy,False,B,0,P
1,0002_01,0002,01,Earth,0,F/0/S,TRAPPIST-1e,24.0,0,109.0,9.0,25.0,549.0,44.0,Juanna Vines,True,F,0,S
2,0003_01,0003,01,Europa,0,A/0/S,TRAPPIST-1e,58.0,1,43.0,3576.0,0.0,6715.0,49.0,Altark Susent,False,A,0,S
3,0003_02,0003,02,Europa,0,A/0/S,TRAPPIST-1e,33.0,0,0.0,1283.0,371.0,3329.0,193.0,Solam Susent,False,A,0,S
4,0004_01,0004,01,Earth,0,F/1/S,TRAPPIST-1e,16.0,0,303.0,70.0,151.0,565.0,2.0,Willy Santantines,True,F,1,S
5,0005_01,0005,01,Earth,0,F/0/P,PSO J318.5-22,44.0,0,0.0,483.0,0.0,291.0,0.0,Sandie Hinetthews,True,F,0,P
6,0006_01,0006,01,Earth,0,F/2/S,TRAPPIST-1e,26.0,0,42.0,1539.0,3.0,0.0,0.0,Billex Jacostaffey,True,F,2,S
7,0006_02,0006,02,Earth,1,G/0/S,TRAPPIST-1e,28.0,0,0.0,0.0,0.0,0.0,"<bound method Series.mean of 0          0.0
1         44.0
2         49.0
3        193.0
4          2.0
         ...  
8688      74.0
8689       0.0
8690       0.0
8691    3235.0
8692      12.0
Name: VRDeck, Length: 8693, dtype: object>",Candra Jacostaffey,True,G,0,S
8,0007_01,0007,01,Earth,0,F/3/S,TRAPPIST-1e,35.0,0,0.0,785.0,17.0,216.0,0.0,Andona Beston,True,F,3,S
9,0008_01,0008,01,Europa,1,B/1/P,55 Cancri e,14.0,0,0.0,0.0,0.0,0.0,0.0,Erraiam Flatic,True,B,1,P
10,0008_02,0008,02,Europa,1,B/1/P,TRAPPIST-1e,34.0,0,0.0,0.0,"<bound method Series.mean of 0          0.0
1         25.0
2          0.0
3        371.0
4        151.0
         ...  
8688       0.0
8689       0.0
8690    1872.0
8691       0.0
8692       0.0
Name: ShoppingMall, Length: 8693, dtype: object>",0.0,0.0,Altardr Flatic,True,B,1,P
11,0008_03,0008,03,Europa,0,B/1/P,55 Cancri e,45.0,0,39.0,7295.0,589.0,110.0,124.0,Wezena Flatic,True,B,1,P
12,0009_01,0009,01,Mars,0,F/1/P,TRAPPIST-1e,32.0,0,73.0,0.0,1123.0,0.0,113.0,Berers Barne,True,F,1,P
13,0010_01,0010,01,Earth,0,G/1/S,TRAPPIST-1e,48.0,0,719.0,1.0,65.0,0.0,24.0,Reney Baketton,False,G,1,S
14,0011_01,0011,01,Earth,0,F/2/P,TRAPPIST-1e,28.0,0,8.0,974.0,12.0,2.0,7.0,Elle Bertsontry,True,F,2,P
15,0012_01,0012,01,Earth,0,,TRAPPIST-1e,31.0,0,32.0,0.0,876.0,0.0,0.0,Justie Pooles,False,,,
16,0014_01,0014,01,Mars,0,F/3/P,55 Cancri e,27.0,0,1286.0,122.0,"<bound method Series.mean of 0          0.0
1         25.0
2          0.0
3        371.0
4        151.0
         ...  
8688       0.0
8689       0.0
8690    1872.0
8691       0.0
8692       0.0
Name: ShoppingMall, Length: 8693, dtype: object>",0.0,0.0,Flats Eccle,False,F,3,P
17,0015_01,0015,01,Earth,0,F/4/P,55 Cancri e,24.0,0,0.0,1.0,0.0,0.0,637.0,Carry Hughriend,False,F,4,P
18,0016_01,0016,01,Mars,1,F/5/P,TRAPPIST-1e,45.0,0,0.0,0.0,0.0,0.0,0.0,Alus Upead,True,F,5,P
19,0017_01,0017,01,Earth,0,G/0/P,TRAPPIST-1e,0.0,0,0.0,0.0,0.0,0.0,0.0,Lyde Brighttt,True,G,0,P
20,0017_02,0017,02,Earth,0,F/6/P,55 Cancri e,14.0,0,412.0,0.0,1.0,0.0,679.0,Philda Brighttt,False,F,6,P
21,0020_01,0020,01,Earth,1,E/0/S,TRAPPIST-1e,1.0,0,0.0,0.0,0.0,0.0,0.0,Almary Brantuarez,False,E,0,S
22,0020_02,0020,02,Earth,1,E/0/S,55 Cancri e,49.0,0,0.0,0.0,0.0,0.0,0.0,Glendy Brantuarez,False,E,0,S
23,0020_03,0020,03,Earth,1,E/0/S,55 Cancri e,29.0,0,0.0,0.0,"<bound method Series.mean of 0          0.0
1         25.0
2          0.0
3        371.0
4        151.0
         ...  
8688       0.0
8689       0.0
8690    1872.0
8691       0.0
8692       0.0
Name: ShoppingMall, Length: 8693, dtype: object>",0.0,0.0,Mollen Mcfaddennon,False,E,0,S
24,0020_04,0020,04,Earth,0,E/0/S,TRAPPIST-1e,10.0,0,0.0,0.0,0.0,0.0,0.0,Breney Jacostanley,True,E,0,S
25,0020_05,0020,05,Earth,1,E/0/S,PSO J318.5-22,1.0,0,"<bound method Series.mean of 0         0.0
1       109.0
2        43.0
3         0.0
4       303.0
        ...  
8688      0.0
8689      0.0
8690      0.0
8691      0.0
8692    126.0
Name: RoomService, Length: 8693, dtype: object>",0.0,0.0,0.0,0.0,Mael Brantuarez,False,E,0,S
26,0020_06,0020,06,Earth,0,E/0/S,TRAPPIST-1e,7.0,0,0.0,0.0,0.0,0.0,0.0,Terta Mcfaddennon,False,E,0,S
27,0022_01,0022,01,Mars,0,D/0/P,TRAPPIST-1e,21.0,0,980.0,2.0,69.0,0.0,0.0,,False,D,0,P
28,0024_01,0024,01,Europa,1,C/2/S,TRAPPIST-1e,62.0,0,0.0,0.0,"<bound method Series.mean of 0          0.0
1         25.0
2          0.0
3        371.0
4        151.0
         ...  
8688       0.0
8689       0.0
8690    1872.0
8691       0.0
8692       0.0
Name: ShoppingMall, Length: 8693, dtype: object>",0.0,0.0,Penton Fullided,True,C,2,S
29,0025_01,0025,01,Earth,0,F/6/S,TRAPPIST-1e,15.0,0,0.0,225.0,0.0,998.0,0.0,Karard Brookenson,False,F,6,S
30,0026_01,0026,01,Europa,0,C/0/P,55 Cancri e,34.0,0,22.0,6073.0,0.0,1438.0,328.0,Anyoni Unconary,False,C,0,P
31,0028_01,0028,01,Mars,0,F/8/P,TRAPPIST-1e,43.0,0,1125.0,0.0,136.0,48.0,0.0,Ceros Mare,False,F,8,P
32,0030_01,0030,01,Earth,0,G/4/S,TRAPPIST-1e,32.0,0,0.0,850.0,81.0,437.0,453.0,Ginia Morsentley,False,G,4,S
33,0031_01,0031,01,Mars,0,F/9/P,TRAPPIST-1e,47.0,0,214.0,0.0,1411.0,0.0,1229.0,Coobix Datie,True,F,9,P
34,0031_02,0031,02,Mars,0,F/9/P,TRAPPIST-1e,2.0,0,0.0,0.0,0.0,0.0,0.0,Cinets Datie,True,F,9,P
35,0031_03,0031,03,Mars,0,F/9/P,TRAPPIST-1e,20.0,0,"<bound method Series.mean of 0         0.0
1       109.0
2        43.0
3         0.0
4       303.0
        ...  
8688      0.0
8689      0.0
8690      0.0
8691      0.0
8692    126.0
Name: RoomService, Length: 8693, dtype: object>",0.0,1750.0,990.0,0.0,Dontch Datie,True,F,9,P
36,0034_01,0034,01,Europa,1,D/1/S,55 Cancri e,28.0,0,0.0,0.0,0.0,0.0,0.0,Ziba Oingwhedly,True,D,1,S
37,0035_01,0035,01,Mars,0,D/1/P,55 Cancri e,23.0,0,784.0,964.0,0.0,951.0,0.0,Luse Butte,False,D,1,P
38,0036_01,0036,01,Earth,0,F/8/S,55 Cancri e,15.0,0,0.0,492.0,48.0,20.0,401.0,Marina Leodger,False,F,8,S
39,0038_01,0038,01,Earth,0,F/10/S,55 Cancri e,20.0,0,554.0,195.0,0.0,2606.0,0.0,Loise Wheelez,False,F,10,S
40,0039_01,0039,01,Earth,1,G/1/P,55 Cancri e,30.0,0,0.0,0.0,"<bound method Series.mean of 0          0.0
1         25.0
2          0.0
3        371.0
4        151.0
         ...  
8688       0.0
8689       0.0
8690    1872.0
8691       0.0
8692       0.0
Name: ShoppingMall, Length: 8693, dtype: object>",0.0,0.0,Jorgie Batthewitt,False,G,1,P
41,0041_01,0041,01,Earth,1,G/2/P,TRAPPIST-1e,17.0,0,0.0,0.0,0.0,0.0,0.0,Margia Moodsey,True,G,2,P
42,0043_01,0043,01,Europa,0,B/3/P,TRAPPIST-1e,45.0,0,0.0,164.0,45.0,2511.0,855.0,Ankalik Cylistrand,False,B,3,P
43,0044_01,0044,01,Earth,1,G/3/P,TRAPPIST-1e,55.0,0,0.0,0.0,0.0,0.0,0.0,Jodye Coopelandez,False,G,3,P
44,0044_02,0044,02,Earth,1,G/3/P,55 Cancri e,4.0,0,0.0,0.0,0.0,0.0,0.0,Kayne Coopelandez,True,G,3,P
45,0044_03,0044,03,Earth,1,G/3/P,PSO J318.5-22,21.0,0,0.0,0.0,0.0,0.0,0.0,Cassa Coopelandez,True,G,3,P
46,0045_01,0045,01,Mars,0,F/10/P,TRAPPIST-1e,21.0,0,970.0,0.0,180.0,0.0,64.0,Zelowl Chmad,False,F,10,P
47,0045_02,0045,02,Mars,1,F/10/P,TRAPPIST-1e,19.0,0,0.0,0.0,0.0,0.0,0.0,Mass Chmad,True,F,10,P
48,0050_01,0050,01,Earth,0,E/1/S,55 Cancri e,35.0,0,790.0,0.0,0.0,"<bound method Series.mean of 0          0.0
1        549.0
2       6715.0
3       3329.0
4        565.0
         ...  
8688    1643.0
8689       0.0
8690       1.0
8691     353.0
8692       0.0
Name: Spa, Length: 8693, dtype: object>",0.0,Sony Lancis,False,E,1,S
49,0051_01,0051,01,Earth,0,E/2/S,TRAPPIST-1e,56.0,0,0.0,112.0,0.0,1379.0,127.0,Vivia Johnshines,False,E,2,S
50,0052_01,0052,01,Earth,0,G/6/S,TRAPPIST-1e,"<bound method Series.mode of 0       39.0
1       24.0
2       58.0
3       33.0
4       16.0
        ... 
8688    41.0
8689    18.0
8690    26.0
8691    32.0
8692    44.0
Name: Age, Length: 8693, dtype: object>",0,4.0,0.0,2.0,4683.0,0.0,Elaney Hubbarton,False,G,6,S
51,0053_01,0053,01,Earth,0,F/11/S,TRAPPIST-1e,25.0,0,0.0,0.0,1938.0,0.0,1.0,Elson Hickerson,True,F,11,S
52,0056_01,0056,01,Europa,0,A/1/S,TRAPPIST-1e,2.0,0,0.0,0.0,0.0,0.0,0.0,Okulas Tractive,True,A,1,S
53,0056_02,0056,02,Europa,1,A/1/S,TRAPPIST-1e,38.0,0,0.0,0.0,0.0,0.0,0.0,Instab Tractive,True,A,1,S
54,0056_03,0056,03,Europa,0,A/1/S,TRAPPIST-1e,27.0,0,279.0,605.0,3374.0,286.0,3.0,Zinoces Tractive,True,A,1,S
55,0058_01,0058,01,Earth,1,G/7/S,PSO J318.5-22,36.0,0,0.0,0.0,0.0,0.0,0.0,Warry Ayalazquez,False,G,7,S
56,0061_01,0061,01,Earth,0,F/12/S,TRAPPIST-1e,22.0,0,45.0,1096.0,148.0,1377.0,1.0,Shanya Salez,False,F,12,S
57,0062_01,0062,01,Earth,0,F/13/S,TRAPPIST-1e,62.0,0,0.0,592.0,0.0,17.0,25.0,Sterry Greeves,False,F,13,S
58,0064_01,0064,01,Mars,1,F/14/S,TRAPPIST-1e,15.0,0,0.0,0.0,0.0,0.0,0.0,,True,F,14,S
59,0064_02,0064,02,Earth,1,E/3/S,TRAPPIST-1e,33.0,0,0.0,0.0,"<bound method Series.mean of 0          0.0
1         25.0
2          0.0
3        371.0
4        151.0
         ...  
8688       0.0
8689       0.0
8690    1872.0
8691       0.0
8692       0.0
Name: ShoppingMall, Length: 8693, dtype: object>",0.0,0.0,Colatz Keen,True,E,3,S
60,0066_01,0066,01,Earth,0,G/6/P,TRAPPIST-1e,62.0,0,1.0,153.0,197.0,0.0,460.0,Diandy Pecketton,False,G,6,P
61,0067_01,0067,01,Earth,1,G/10/S,PSO J318.5-22,0.0,0,0.0,0.0,0.0,0.0,0.0,Ninaha Leeves,True,G,10,S
62,0067_02,0067,02,Earth,0,G/10/S,TRAPPIST-1e,18.0,0,1.0,258.0,446.0,0.0,0.0,Celine Leeves,True,G,10,S
63,0067_03,0067,03,Earth,0,F/15/S,55 Cancri e,21.0,0,1946.0,37.0,0.0,0.0,24.0,Velyne Leeves,False,F,15,S
64,0068_01,0068,01,Mars,0,E/4/S,TRAPPIST-1e,"<bound method Series.mode of 0       39.0
1       24.0
2       58.0
3       33.0
4       16.0
        ... 
8688    41.0
8689    18.0
8690    26.0
8691    32.0
8692    44.0
Name: Age, Length: 8693, dtype: object>",0,793.0,0.0,2.0,253.0,0.0,Cinst Binie,False,E,4,S
